X,CH1,
Second,Volt,
-8.1919990e-03,-1.48000e+00,
-8.1909988e-03,-1.48000e+00,
-8.1899995e-03,-1.48000e+00,
-8.1889993e-03,-1.48000e+00,
-8.1879990e-03,-1.48000e+00,
-8.1869988e-03,-1.48000e+00,
-8.1859995e-03,-1.48000e+00,
-8.1849992e-03,-1.48000e+00,
-8.1839990e-03,-1.48000e+00,
-8.1829987e-03,-1.48000e+00,
-8.1819994e-03,-1.48000e+00,
-8.1809992e-03,-1.48000e+00,
-8.1799990e-03,-1.48000e+00,
-8.1789987e-03,-1.48000e+00,
-8.1779994e-03,-1.48000e+00,
-8.1769992e-03,-1.48000e+00,
-8.1759989e-03,-1.48000e+00,
-8.1749987e-03,-1.48000e+00,
-8.1739994e-03,-1.48000e+00,
-8.1729991e-03,-1.48000e+00,
-8.1719989e-03,-1.48000e+00,
-8.1709987e-03,-1.48000e+00,
-8.1699993e-03,-1.48000e+00,
-8.1689991e-03,-1.48000e+00,
-8.1679989e-03,-1.48000e+00,
-8.1669986e-03,-1.48000e+00,
-8.1659993e-03,-1.48000e+00,
-8.1649991e-03,-1.48000e+00,
-8.1639988e-03,-1.48000e+00,
-8.1629986e-03,-1.50000e+00,
-8.1619993e-03,-1.48000e+00,
-8.1609990e-03,-1.48000e+00,
-8.1599988e-03,-1.50000e+00,
-8.1589995e-03,-1.50000e+00,
-8.1579993e-03,-1.50000e+00,
-8.1569990e-03,-1.48000e+00,
-8.1559988e-03,-1.48000e+00,
-8.1549995e-03,-1.48000e+00,
-8.1539992e-03,-1.48000e+00,
-8.1529990e-03,-1.48000e+00,
-8.1519987e-03,-1.48000e+00,
-8.1509994e-03,-1.48000e+00,
-8.1499992e-03,-1.48000e+00,
-8.1489990e-03,-1.50000e+00,
-8.1479987e-03,-1.50000e+00,
-8.1469994e-03,-1.48000e+00,
-8.1459992e-03,-1.48000e+00,
-8.1449989e-03,-1.48000e+00,
-8.1439987e-03,-1.50000e+00,
-8.1429994e-03,-1.48000e+00,
-8.1419991e-03,-1.48000e+00,
-8.1409989e-03,-1.48000e+00,
-8.1399987e-03,-1.48000e+00,
-8.1389993e-03,-1.48000e+00,
-8.1379991e-03,-1.48000e+00,
-8.1369989e-03,-1.48000e+00,
-8.1359986e-03,-1.50000e+00,
-8.1349993e-03,-1.48000e+00,
-8.1339991e-03,-1.50000e+00,
-8.1329988e-03,-1.48000e+00,
-8.1319986e-03,-1.48000e+00,
-8.1309993e-03,-1.48000e+00,
-8.1299990e-03,-1.50000e+00,
-8.1289988e-03,-1.50000e+00,
-8.1279995e-03,-1.48000e+00,
-8.1269993e-03,-1.48000e+00,
-8.1259990e-03,-1.48000e+00,
-8.1249988e-03,-1.48000e+00,
-8.1239995e-03,-1.48000e+00,
-8.1229992e-03,-1.48000e+00,
-8.1219990e-03,-1.50000e+00,
-8.1209987e-03,-1.48000e+00,
-8.1199994e-03,-1.48000e+00,
-8.1189992e-03,-1.48000e+00,
-8.1179990e-03,-1.50000e+00,
-8.1169987e-03,-1.48000e+00,
-8.1159994e-03,-1.48000e+00,
-8.1149992e-03,-1.50000e+00,
-8.1139989e-03,-1.48000e+00,
-8.1129987e-03,-1.50000e+00,
-8.1119994e-03,-1.50000e+00,
-8.1109991e-03,-1.50000e+00,
-8.1099989e-03,-1.48000e+00,
-8.1089986e-03,-1.50000e+00,
-8.1079993e-03,-1.50000e+00,
-8.1069991e-03,-1.48000e+00,
-8.1059989e-03,-1.48000e+00,
-8.1049986e-03,-1.48000e+00,
-8.1039993e-03,-1.48000e+00,
-8.1029991e-03,-1.50000e+00,
-8.1019988e-03,-1.48000e+00,
-8.1009986e-03,-1.48000e+00,
-8.0999993e-03,-1.48000e+00,
-8.0989990e-03,-1.48000e+00,
-8.0979988e-03,-1.48000e+00,
-8.0969995e-03,-1.50000e+00,
-8.0959992e-03,-1.50000e+00,
-8.0949990e-03,-1.50000e+00,
-8.0939988e-03,-1.50000e+00,
-8.0929995e-03,-1.48000e+00,
-8.0919992e-03,-1.48000e+00,
-8.0909990e-03,-1.48000e+00,
-8.0899987e-03,-1.50000e+00,
-8.0889994e-03,-1.50000e+00,
-8.0879992e-03,-1.48000e+00,
-8.0869989e-03,-1.50000e+00,
-8.0859987e-03,-1.48000e+00,
-8.0849994e-03,-1.48000e+00,
-8.0839992e-03,-1.48000e+00,
-8.0829989e-03,-1.48000e+00,
-8.0819987e-03,-1.48000e+00,
-8.0809994e-03,-1.50000e+00,
-8.0799991e-03,-1.50000e+00,
-8.0789989e-03,-1.48000e+00,
-8.0779986e-03,-1.48000e+00,
-8.0769993e-03,-1.50000e+00,
-8.0759991e-03,-1.48000e+00,
-8.0749989e-03,-1.50000e+00,
-8.0739986e-03,-1.48000e+00,
-8.0729993e-03,-1.48000e+00,
-8.0719991e-03,-1.50000e+00,
-8.0709988e-03,-1.48000e+00,
-8.0699986e-03,-1.50000e+00,
-8.0689993e-03,-1.50000e+00,
-8.0679990e-03,-1.50000e+00,
-8.0669988e-03,-1.48000e+00,
-8.0659995e-03,-1.48000e+00,
-8.0649992e-03,-1.48000e+00,
-8.0639990e-03,-1.50000e+00,
-8.0629988e-03,-1.48000e+00,
-8.0619995e-03,-1.48000e+00,
-8.0609992e-03,-1.48000e+00,
-8.0599990e-03,-1.48000e+00,
